Order,Family,Genus,Species,SpeciesAuthor,isAccepted,AcceptedGenus,AcceptedSpecies,AcceptedSpeciesAuthor
Afrosoricida,Tenrecidae,Microgale,talazaci,"Major, 1896",Yes,,,
Afrosoricida,Tenrecidae,Oryzorictes,talpoides,"G.Grandidier & Petit, 1930",No,Oryzorictes,hova,"A.Grandidier, 1870"
Afrosoricida,Tenrecidae,Microgale,pulla,"Jenkins, 1988",No,Microgale,parvula,"G.Grandidier, 1934"
Chiroptera,Miniopteridae,Miniopterus,fraterculus,"Thomas & Schwann, 1906",Yes,,,
Chiroptera,Miniopteridae,Miniopterus,tristis,"Waterhouse, 1845",Yes,,,
Chiroptera,Miniopteridae,Miniopterus,pusillus,"Dobson, 1876",Yes,,,
Chiroptera,Vespertilionidae,Laephotis,wintoni,"Thomas, 1901",Yes,,,
Chiroptera,Vespertilionidae,Laephotis,angolensis,"Monard, 1935"Yes,,,
Chiroptera,Vespertilionidae,Chalinolobus,alboguttatus,"J.A.Allen, 1917",No,Glauconycteris,alboguttata,"J.A.Allen, 1917"
Chiroptera,Vespertilionidae,Nycticeius,rueppellii,"Peters, 1866",No,Scoteanax,rueppellii,"Peters, 1866"
Chiroptera,Natalidae,Chilonatalus,micropus,"Dobson, 1880",Yes,,,
Chiroptera,Natalidae,Natalus,tumidifrons,"Miller, 1903",No,Chilonatalus,tumidifrons,"Miller, 1903"
Carnivora,Otariidae,Arctocephalus,forsteri,"Lesson, 1828",Yes,,,
Carnivora,Otariidae,Arctocephalus,philippii,"Peters, 1866",Yes,,,
Carnivora,Otariidae,Phoca,jubata,"Schreber, 1776",No,Eumetopias,jubatus,"Schreber, 1776"
Carnivora,Canidae,Canis,adustus,"Sundevall, 1847",Yes,,,
Carnivora,Canidae,Canis,aureus,"Linnaeus, 1758",Yes,,,
Carnivora,Canidae,Canis,latrans,"Say, 1823",Yes,,,
Carnivora,Canidae,Canis,mesomelas,"Schreber, 1775",Yes,,,
Carnivora,Canidae,Vulpes,alopex,"Linnaeus, 1758",No,Canis,alopex,"Linnaeus, 1758"
Carnivora,Canidae,Lycalopex,griseus,"Gray, 1837",No,Lycalopex,gymnocercus,"G.Fischer, 1814"
Carnivora,Canidae,Dusicyon,microtis,"Sclater, 1883",No,Atelocynus,microtis,"Sclater, 1883"
